name,priority,dec_j2000,ra_j2000,v_mag,t0_bjd_tdb,t0_unc,period_days,period_unc,min_telescope_inches,depth_r_mmag,duration_hours,rp_over_rs,sma_over_rs,inclination,eccentricity,periastron
55Cnce,high,+28:19:50.956,08:52:35.8113,5.96,2459370.807543,9.3e-05,0.73654625,1.5e-07,71.29,0.4142502071251036,1.56,0.0187,3.47,83.6,0.0,0.0
AUMicb,high,-31:20:27.241,20:45:09.5323,8.627,2458330.39051,0.00015,8.463,2e-06,11.0,3.0562459725674302,3.51,0.0496,19.1,89.5,0.0,0.0
AUMicc,high,-31:20:27.241,20:45:09.5323,8.627,2458342.2223,0.0005,18.859019,1.6e-05,17.86,1.8042897910337843,4.51,0.0395,29.0,89.0,0.0,0.0
CoRoT-1b,low,-03:06:07.710,06:48:19.1723,13.6,2456268.99119,0.00012,1.50896877,8e-08,9.23,22.608855748872315,2.51,0.1388,4.92,85.1,0.0,0.0
CoRoT-2b,low,+01:23:01.357,19:27:06.4944,12.568,2457683.44158,0.00016,1.74299705,1.5e-07,6.08,34.05136702568351,2.28,0.1667,6.7,87.84,0.0,0.0
CoRoT-3b,high,+00:07:18.614,19:28:13.2642,13.292,2454283.13388,0.00024,4.2567994,3.5e-06,18.86,4.897358004234558,3.77,0.06632,7.955,86.1,0.0,0.0
CoRoT-5b,low,+00:48:54.905,06:45:06.5406,14.018,2456665.4696,0.00065,4.0379156,1.2e-06,10.62,13.743901316395101,2.77,0.1155,9.54,85.68,0.0,0.0
CoRoT-10b,alert,+00:44:46.003,19:24:15.2868,15.216,2454273.3443,0.0012,13.2406,0.0002,20.56,14.102918162570193,3.02,0.127,31.3,88.55,0.53,218.9
CoRoT-11b,low,+05:56:15.652,18:42:44.9499,12.939,2456019.9622,0.00037,2.99427803,4.9e-07,7.9,10.825738746202706,2.49,0.107,6.89,83.17,0.0,0.0
CoRoT-19b,medium,-00:10:14.532,06:28:08.0586,14.007,2455701.7154,0.00048,3.8971379,1.6e-06,17.81,7.438092607935193,4.7,0.0786,6.7,88.0,0.0,0.0
CoRoT-36b,alert,+07:11:00.110,18:31:00.2424,13.14,2455662.52236,0.00034,5.616531,2.3e-05,7.93,11.157138911902788,5.14,0.1004987562112089,7.879971994507743,85.83,0.0,0.0
DSTucAb,high,-69:11:44.709,23:39:39.4809,8.47,2458332.31077,0.00026,8.138268,1.1e-05,9.77,3.6177851422259044,3.18,0.05419,20.35,89.5,0.0,0.0
EPIC211945201b,high,+19:24:08.051,09:06:17.7565,10.15,2458094.44793,0.00024,19.4921498,7.7e-06,24.76,1.5189174261253795,3.91,0.0407,23.1,87.9,0.0,0.0
EPIC246851721b,high,+16:16:43.518,05:15:40.7537,11.24,2458439.87506,0.00025,6.1802679,2e-06,9.8,4.961796925342907,4.1,0.068,9.8,86.21,0.0,0.0
G9-40b,medium,+21:04:34.202,08:58:52.3299,13.821,2458319.65105,0.00013,5.7459996,2e-06,26.13,3.9215686274509802,1.33,0.0605,27.0,88.57,0.0,0.0
GJ357b,high,-21:39:38.878,09:36:01.6372,10.906,2458824.588,0.00091,3.930623,1e-05,35.37,1.3163951026419956,1.53,0.0331,19.4,89.12,0.0,0.0
GJ367b,high,-45:46:35.427,09:44:29.8367,9.979,2458544.1348,0.0004,0.321962,1e-05,235.77,0.23013900395839085,0.63,0.0143,3.41,80.75,0.0,0.0
GJ436b,low,+26:42:23.658,11:42:11.0933,10.613,2455290.751684,5.2e-05,2.643897621,9.6e-08,9.01,6.443892110834944,0.99,0.0831,14.367,86.7,0.0,0.0
GJ486b,high,+09:45:05.031,12:47:56.6249,11.395,2458931.15935,0.00042,1.467119,3.1e-05,34.61,1.6385897081837428,1.03,0.0366,10.94,88.6,0.0,0.0
GJ1132b,high,-47:09:24.189,10:14:51.7783,13.49,2458031.60114,0.00011,1.6289304,1.3e-06,45.05,3.1206848936757803,0.76,0.051,16.0,88.6,0.0,0.0
GJ1214b,low,+04:57:50.064,17:15:18.9337,15.1,2455886.320526,2.3e-05,1.580404571,4.2e-08,13.24,17.28804197735432,0.87,0.116,15.31,89.3,0.0,0.0
GJ1252b,high,-56:27:25.156,20:27:42.0813,12.68,2458876.9451,0.00086,0.5182464,2.3e-06,103.41,0.9205560158335634,0.74,0.02802,5.05,85.0,0.0,0.0
GJ3090b,high,-46:42:51.764,01:21:45.3901,11.403,2458370.41849,0.00034,2.853136,6.4e-05,35.05,1.5557396667587222,1.33,0.0379,13.18,87.14,0.0,0.0
GJ3470b,low,+15:23:29.240,07:59:05.8395,12.33,2456974.68988,5.9e-05,3.3366524,1.4e-07,10.34,7.0790757617601034,1.91,0.0764,13.9,88.9,0.017,1.7
GJ3473b,high,+03:20:19.692,08:02:22.8828,13.74,2458492.20408,0.00043,1.1980035,1.8e-06,121.13,1.2243395010586395,0.95,0.03184,9.39,87.95,0.0,0.0
GJ3929b,high,+35:24:24.279,15:58:18.7976,12.766,2458956.3962,0.0005,2.616235,5e-06,351.05,0.2853723649084047,1.08,0.0156,16.8,88.442,0.0,0.0
GJ9827b,high,-01:17:10.585,23:27:04.8376,10.1,2457831.9172,0.00026,1.2089749,1e-06,75.55,0.681211451716837,1.27,0.024,6.72,86.1,0.0,0.0
GJ9827c,high,-01:17:10.585,23:27:04.8376,10.1,2457851.64378,0.00075,3.6481145,9.6e-06,109.72,0.4234557672834392,1.82,0.01887,14.04,88.19,0.0,0.0
GJ9827d,high,-01:17:10.585,23:27:04.8376,10.1,2457740.9611,0.0004,6.20147,6e-05,67.39,0.7732670533001933,1.22,0.0307,20.0,87.44,0.0,0.0
GPX-1b,low,+56:01:32.588,02:33:28.5998,12.319,2458770.23823,0.0004,1.744579,8e-06,8.56,8.588787627727147,2.12,0.095,4.67,79.9,0.0,0.0
Gaia-1b,low,-00:34:36.965,06:02:34.4736,13.195,2458468.68524,0.00057,3.052524,1.7e-05,8.18,18.61364264015465,2.32,0.1325,9.13,85.73,0.0,0.0
Gaia-2b,low,+67:15:09.190,07:22:56.4611,11.28,2458843.98875,0.00019,3.6915224,3.9e-06,5.0,16.717297247537513,2.83,0.1276,8.669,85.21,0.0,0.0
